lens_series,IOL_dpt
MBI SAL 302A,17.5
Zeiss AT Torbi,21.0
Domilens 677,21.0
Domilens 677,22.5
Domilens 677,19.5
Domilens 677,12.0
Domilens 677,26.0
Domilens 677,18.5
Domilens 677,20.0
1stQ,20.0
Domilens 677,20.5
MBI SAL 302A,20.5
Domilens 677,21.5
Domilens Nexload-System SZ1,14.5
Domilens 677,14.0
Domilens 677,13.5
Teleon Oculentis 313,17.0
MBI SAL 302A,23.0
MBI SAL 302A,24.0
Domilens 677,19.0
Zeiss AT Torbi,18.5
Zeiss AT Torbi,19.0
1stQ,23.5
MBI SAL 302A,20.0
1stQ,24.0
Domilens 677,23.0
Domilens 677,14.5
1stQ,17.5
1stQ,13.5
1stQ,16.0
Domilens 677,31.0
Domilens 677,30.0
Domilens 677,16.0
Domilens 677,15.0
1stQ,18.5
1stQ,19.0
1stQ,21.5
Domilens Nexload-System SZ1,29.0
1stQ,22.5
1stQ,22.0
1stQ,21.0
1stQ,20.5
Domilens 677,25.0
Domilens 677,23.5
MBI SAL 302A,22.5
Alcon SN 60 WF,20.5
Alcon SN6AT,21.5
MBI SAL 302A,22.0
Domilens 677,27.0
1stQ,28.0
Domilens 677,18.0
Alcon SN6AT,12.0
Domilens 677,22.0
Zeiss AT Torbi,18.0
Zeiss Asphina,16.5
Domilens 677,7.0
1stQ,10.5
MBI SAL 302A,9.9
MBI SAL 302A,19.0
1stQ,18.0
Zeiss AT Torbi,21.5
Teleon Oculentis 313,19.5
Teleon Oculentis 313,20.0
Alcon SN6AT,17.0
Alcon SN 60 WF,18.0
Zeiss AT Torbi,23.0
Zeiss AT Torbi,22.0
Domilens 677,25.5
MBI SAL 302A,21.0
1stQ,26.0
MBI SAL 302A,19.5
MBI SAL 302A,21.5
1stQ,28.5
1stQ,15.5
Domilens 677,24.5
1stQ,23.0
MBI SAL 302A,23.5
BunnyLens AF Easy,22.5
Domilens 677,15.5
1stQ,19.5
Domilens AS66-Y,23.5
BunnyLens AF Easy,29.0
BunnyLens AF Easy,28.5
Zeiss Asphina,18.5
Zeiss AT Torbi,15.0
Zeiss AT Torbi,16.5
Domilens 677,17.5
Domilens 677,17.0
Zeiss AT Torbi,14.5
Zeiss Asphina,18.0
Zeiss AT Torbi,22.5
Zeiss AT Torbi,8.0
Zeiss AT Torbi,25.5
Zeiss AT Torbi,27.5
Zeiss AT Torbi,25.0
Domilens AS66-Y,23.0
Zeiss Asphina,21.5
Alcon Clareon,10.0
Alcon SN 60 WF,23.5
Alcon SN 60 WF,25.0
Alcon SN6AT,26.0
Domilens 677,16.5
Alcon SN6AT,24.5
Teleon Oculentis 313,13.5
Teleon Oculentis 313,14.0
Alcon SN6AT,25.5
MBI SAL 302A,24.5
Zeiss AT Torbi,20.5
Domilens 677,24.0
Alcon Vivity,17.0
Domilens AS66-Y,24.5
Domilens AS66-Y,13.0
Domilens AS66-Y,25.0
Domilens 677,34.0
Domilens AS66-Y,24.0
Zeiss Asphina,21.0
Teleon Oculentis 313,16.5
Teleon Oculentis 313,18.0
1stQ,-1.0
1stQ,1.0
MBI SAL 302A,25.0
Teleon Oculentis 313,22.0
Domilens 677,27.5
Bausch & Lomb Envista,23.5
Bausch & Lomb Envista,24.0
Zeiss AT Torbi,23.5
Zeiss AT Torbi,24.0
Teleon Oculentis 313,22.5
Teleon Oculentis 313,16.0
Domilens 677,10.5
Domilens 677,11.0
1stQ,16.5
Alcon SN 60 WF,22.0
1stQ,25.0
Zeiss CT Lucia 621 P/PY,24.0
Zeiss CT Lucia 621 P/PY,24.5
Alcon Clareon,30.0
Domilens AS66-Y,21.0
Domilens AS66-Y,22.0
Zeiss Asphina,19.0
Zeiss Asphina,22.5
Bausch & Lomb Envista,21.0
Bausch & Lomb Envista,20.5
1stQ,24.5
1stQ,14.0
1stQ,30.0
1stQ,29.5
Alcon SN6AT,15.0
Zeiss Asphina,22.0
Zeiss AT Torbi,26.0
Zeiss AT Torbi,20.0
Domilens Nexload-System SZ1,22.0
Zeiss AT Torbi,19.5
MBI SAL 302A,16.5
Domilens 677,28.0
Zeiss AT Torbi,17.5
Domilens Nexload-System SZ1,20.5
1stQ,11.5
BunnyLens AF Easy,19.5
BunnyLens AF Easy,20.0
1stQ,17.0
Zeiss AT Torbi,6.0
Zeiss Asphina,11.0
1stQ,12.0
Domilens 677,26.5
Zeiss Asphina,27.5
Zeiss AT Torbi,30.0
Alcon Clareon,25.0
Domilens Nexload-System SZ1,26.0
Domilens Nexload-System SZ1,25.5
Domilens 677,29.0
Alcon Clareon,22.5
MBI SAL 302A,25.5
MBI SAL 302A,26.0
Zeiss AT Torbi,16.0
1stQ,26.5
Domilens 677,10.0
Teleon Oculentis 313,25.5
Alcon SN 60 WF,25.5
Alcon SN6AT,31.0
MBI SAL 302A,18.5
Zeiss Asphina,17.5
Domilens Nexload-System SZ1,20.0
Domilens 677,28.5
Alcon Clareon,21.5
Domilens 677,29.5
1stQ,25.5
Domilens Nexload-System SZ1,26.5
Alcon Clareon,22.0
MBI SAL 302A,18.0
Bausch & Lomb Envista,23.0
Alcon Clareon,24.5
Alcon Clareon,27.5
Zeiss Asphina,20.5
Domilens 677,11.5
1stQ,8.0
Zeiss AT Torbi,10.0
Zeiss AT Torbi,17.0
Alcon SN 60 WF,19.5
Alcon SN6AT,15.5
Alcon SN6AT,16.5
BunnyLens AF Easy,25.0
Domilens Nexload-System SZ1,23.5
Alcon Vivity,23.5
Polytech Domilens Y50P,31.0
1stQ,31.0
Alcon SN 60 WF,21.5
Alcon SN6AT,21.0
Teleon Oculentis 313,20.5
Polytech Domilens Y50P,16.5
Teleon Oculentis 313,18.5
Teleon Oculentis 313,17.5
Zeiss AT Torbi,29.5
Zeiss AT Torbi,26.5
Domilens Nexload-System SZ1,25.0
Zeiss CT Lucia 621 P/PY,23.0
Zeiss CT Lucia 621 P/PY,22.5
1stQ,15.0
Teleon Oculentis 313,4.5
Domilens Nexload-System SZ1,22.5
Domilens AS66-Y,22.5
Domilens Nexload-System SZ1,21.0
Domilens Nexload-System SZ1,21.5
Domilens AS66-Y,19.0
Alcon SN6AT,24.0
Alcon SN6AT,23.5
Zeiss AT Torbi,12.0
Zeiss AT Torbi,7.0
Alcon SN 60 WF,17.0
Domilens Nexload-System SZ1,17.5
Domilens Nexload-System SZ1,27.0
Zeiss Asphina,19.5
Domilens Nexload-System SZ1,23.0
Polytech Domilens Y50P,22.0
Domilens AS66-Y,19.5
1stQ,11.0
Teleon Oculentis 313,21.5
Alcon Vivity,20.5
1stQ,12.5
Domilens 677,13.0
Teleon Oculentis 313,23.0
Alcon SN6AT,22.5
Zeiss AT Torbi,12.5
Zeiss AT Torbi,14.0
Zeiss AT Torbi,11.5
Bausch & Lomb Envista,22.5
Zeiss AT Torbi,24.5
Zeiss CT Lucia 621 P/PY,25.0
Bausch & Lomb Envista,21.5
Alcon SN6AT,23.0
Alcon SN 60 WF,24.0
Alcon Clareon,28.5
Zeiss AT Torbi,10.5
Zeiss AT Torbi,9.0
Polytech Domilens Y50P,23.0
Bausch & Lomb Envista,24.5
Domilens Nexload-System SZ1,18.5
Teleon Oculentis 313,21.0
Zeiss Asphina,23.0
Alcon SN 60 WF,18.5
Zeiss CT Lucia 621 P/PY,23.5
MBI SAL 302A,30.0
MBI SAL 302A,29.5
Alcon SN6AT,29.5
Alcon SN 60 WF,21.0
Alcon Clareon,20.0
Alcon Clareon,19.0
1stQ,14.5
1stQ,27.5
Bausch & Lomb Envista,22.0
Zeiss Asphina,23.5
Domilens 677,33.0
Teleon Oculentis 313,23.5
Zeiss AT Torbi,11.0
MBI SAL 302A,29.0
MBI SAL 302A,28.5
Alcon Clareon,19.5
1stQ,32.0
Alcon SN6AT,25.0
Alcon Vivity,19.0
Alcon SN 60 WF,17.5
Teleon Oculentis 313,27.5
Teleon Oculentis 313,29.0
Domilens Nexload-System SZ1,14.0
Alcon Clareon,18.5
Polytech Domilens Y50P,22.5
Domilens 677,12.5
1stQ,13.0
Alcon SN6AT,28.5
Alcon SN6AT,26.5
Alcon Clareon,20.5
Domilens Nexload-System SZ1,19.5
MBI SAL 302A,25.8
Alcon SN6AT,19.0
1stQ,2.1
Domilens AS66-Y,18.5
Alcon Clareon,24.0
Domilens Nexload-System SZ1,17.0
Domilens AS66-Y,21.5
Teleon Oculentis 313,25.0
Domilens AS66-Y,27.0
Domilens AS66-Y,25.5
Alcon Vivity,22.0
Teleon Oculentis 313,28.0
Teleon Oculentis 313,30.0
Teleon Oculentis 313,27.0
1stQ,6.0
Alcon Vivity,25.0
Alcon Vivity,23.0
Alcon SN6AT,20.0
Domilens Nexload-System SZ1,18.0
Zeiss Asphina,15.0
Zeiss AT Torbi,27.0
Domilens AS66-Y,20.0
Zeiss AT Torbi,15.5
Domilens 677,9.0
Alcon SN 60 WF,19.0
Zeiss Asphina,20.0
Domilens Nexload-System SZ1,12.0
Zeiss Asphina,10.0
Alcon SN6AT,13.0
MBI SAL 302A,26.5
Domilens Nexload-System SZ1,12.5
Teleon Oculentis 313,12.5
1stQ,29.0
1stQ,27.0
Alcon SN 60 WF,22.5
BunnyLens AF Easy,18.5
Alcon Clareon,13.5
Alcon SN6AT,17.5
Alcon Clareon,26.5
Alcon Clareon,21.0
Alcon Clareon,26.0
MBI SAL 302A,15.0
Teleon Oculentis 313,24.5
1stQ,4.0
BunnyLens AF Easy,22.0
BunnyLens AF Easy,21.0
Polytech Domilens Y50P,21.5
Teleon Oculentis 313,19.0
Alcon Vivity,16.5
Polytech Domilens Y50P,25.5
Zeiss AT Torbi,29.0
Teleon Oculentis 313,9.5
Teleon Oculentis 313,9.0
Zeiss Asphina,16.0
Zeiss Asphina,15.5
Alcon SN6AT,19.5
Zeiss CT Lucia 621 P/PY,20.0
Alcon SN6AT,14.0
Zeiss Asphina,25.0
Polytech Domilens Y50P,15.0
Alcon SN6AT,18.5
BunnyLens AF Easy,15.0
BunnyLens AF Easy,14.5
Alcon SN6AT,22.0
Domilens 677,32.0
Alcon Clareon,15.0
Domilens Nexload-System SZ1,24.0
1stQ,33.0
Alcon SN6AT,18.0
Polytech Domilens Y50P,17.5
Alcon SN6AT,27.5
Alcon SN6AT,20.5
Alcon SN6AT,6.0
Polytech Domilens Y50P,20.0
Zeiss Asphina,17.0
BunnyLens AF Easy,23.5
Alcon SN6AT,30.0
Teleon Oculentis 313,15.5
1stQ,5.0
1stQ,0.0
BunnyLens AF Easy,25.5
Domilens 677,8.0
1stQ,1.3
Domilens 677,22.05
Alcon Clareon,18.0
Zeiss AT Torbi,6.5
Alcon SN 60 WF,20.0
1stQ,10.0
BunnyLens AF Easy,23.0
BunnyLens AF Easy,18.0
Polytech Domilens Y50P,21.0
Bausch & Lomb Envista,25.0
Domilens AS66-Y,20.5
Teleon Oculentis 313,28.5
Domilens Nexload-System SZ1,19.0
Polytech Domilens Y50P,19.0
Zeiss AT Torbi,28.0
Alcon SN6AT,13.5
Alcon SN6AT,12.5
BunnyLens AF Easy,15.5
BunnyLens AF Easy,27.0
1stQ,34.0
Domilens 677,5.0
Zeiss AT Torbi,28.5
Zeiss AT Torbi,31.5
Domilens Nexload-System SZ1,24.5
1stQ,22.03
MBI SAL 302A,27.0
Bausch & Lomb Envista,17.0
Domilens AS66-Y,14.0
Domilens AS66-Y,15.5
Domilens AS66-Y,17.5
1stQ,18.023
Zeiss AT Torbi,21.25
Zeiss Asphina,3.8
Domilens Nexload-System SZ1,15.5
Zeiss Asphina,3.0
Zeiss AT Torbi,2.5
MBI SAL 302A,27.5
Zeiss AT Torbi,13.0
Domilens Nexload-System SZ1,16.5
Zeiss AT Torbi,8.5
Alcon Clareon,17.0
Alcon Clareon,23.5
Teleon Oculentis 313,26.5
Alcon Clareon,17.5
Domilens Nexload-System SZ1,16.0
Alcon Vivity,21.0
Alcon Clareon,23.0
Bausch & Lomb Envista,18.5
Teleon Oculentis 313,24.4
Teleon Oculentis 313,12.0
Zeiss CT Lucia 621 P/PY,18.5
Zeiss CT Lucia 621 P/PY,21.5
Zeiss CT Lucia 621 P/PY,21.0
Bausch & Lomb Envista,19.0
Bausch & Lomb Envista,18.0
Alcon Vivity,21.5
Alcon Vivity,19.5
MBI SAL 302A,17.0
Zeiss AT Torbi,-2.5
Alcon Vivity,26.5
MBI SAL 302A,28.0
Alcon Vivity,22.5
Alcon Clareon,14.5
Alcon Clareon,15.5
Bausch & Lomb Envista,20.0
Bausch & Lomb Envista,19.5
Alcon Clareon,12.5
